-2.251281,2.380185,0.7892413
-2.171528,2.353273,2.221869
-0.5665278,2.313141,2.360608
0.5405395,2.497839,2.295917
1.488918,2.456348,1.577176
1.459549,2.446653,2.151037
1.927526,2.438825,2.217236
2.36311,2.095651,1.356085
-3.150881,2.479282,-0.03537893
-3.150764,2.480069,0.4643269
-3.168494,2.440677,1.61965
-1.160019,2.34423,1.922817
-1.005313,2.434751,1.451307
-1.010172,2.487443,0.9310718
-1.402417,2.468681,1.14731
-1.76199,2.115956,1.137817
-2.351231,2.492619,-1.18261
-1.957816,2.494626,-1.080013
-2.275414,2.474183,-0.7652187
-1.91549,2.494648,-0.5661483
-1.829172,2.292187,-0.0008192062
-1.055053,2.468103,-1.225348
-0.4498992,2.481699,-1.954622
-1.091691,1.932035,-2.498867
-3.152698,2.462873,-0.740026
-2.762936,2.47651,-1.237673
-2.307231,2.476911,-2.160225
-1.91116,2.454019,-2.379347
-1.214648,2.456975,-3.137349
-1.267219,2.453647,-3.719529
-1.692635,2.102414,-3.97977
-1.597844,2.100666,-4.544849
-0.9641516,2.326811,0.1727624
-1.047727,2.485827,-0.141623
-1.067412,2.438157,-0.6497467
-0.7136178,2.439562,-0.8229725
0.07465649,2.451314,-0.3782163
0.1534492,2.483607,0.1910734
0.2505916,2.550983,1.359215
0.3772436,2.121923,1.913531
-0.4628801,2.592807,-2.480332
0.0374651,2.570584,-2.69655
0.2682073,2.37876,-2.27552
0.471918,2.437785,-2.69248
0.9438009,2.59661,-2.587108
1.208441,2.509753,-2.976727
1.600646,2.459968,-2.631453
2.116683,2.141329,-2.77552
-1.000619,2.577016,-1.862747
0.09635139,2.488439,-1.18431
0.9614894,2.360881,-0.1969838
1.30652,2.455901,-0.4720354
1.404601,2.312831,-0.1221976
1.305597,2.354817,0.8178353
0.8198109,2.47467,1.015371
0.258641,2.137467,0.8798227
-0.410188,2.455429,-3.514601
0.925508,2.585157,-3.768409
1.486531,2.666624,-3.792918
1.145829,2.407677,-4.31603
0.407562,2.704337,-4.841365
0.2063136,2.397134,-4.428296
0.1191697,2.580349,-3.855827
-0.7874136,2.063123,-4.091537
